Year,Country,Crop,Event,Source
1894,France - Corsica,Citron (Citrus medica),"On December 17, Fairchild made his first attempt at plant introduction by taking citron cuttings from Corsica. This was without proper authorization and was arrested for it.",The Food Explorer Ch.1
1896,Indonesia - Java,Mangosteen (first encounter),"While studying termites in Java, Fairchild discovers mangosteens, which he would later describe as the queen of tropical fruits; while he pushed for their incorporation on the american dieat throught his life, the fruit didn't really catch on.",The Food Explorer Ch.3&4
1896-97,Australia,Eucalyptus,"While not first introduced by Fairchild into the US, he did ship some eucalytpus as well as other dry adapted species. On Fairchild's Tropical Botanic Garden there is an incredible specimen of a Rainbow eucalyptus (Eucalyptus deglupta) ",The Food Explorer Ch.5
1898,Jamaica,Chayote; Mango,Fairchild and Lathrop collect chayote (Sicyos edulis) and mangoes as some of their earliest accesions.,
1899,Chile,Avocado (Persea americana),Fairchild ships more than 10 boxes of Chilean avocado seeds which would lay the foundation for the avocado fields in the American Southwest.,The Food Explorer Ch.8
1899,Argentina,Bella sombra tree (Phytolacca dioica); Tipu tree (Tipuana tipu),"Fairchild collected seeds of fast-growing shade trees later used in US plantings. In particular, bella sombra in California.",The Food Explorer Ch.8
1899,Brazil,Mango (Itamaraca variety),"While it didn't have a big impact in the American economy, Fairchild shipped Itamaraca mango, a dwarf variety that is still found in backyards.",The Food Explorer Ch.8
1899,England - London,Fava beans,Fava beans were shipped for US trial,The Food Explorer Ch.9
1899,Italy - Venice,Broccoli; sweet peppers,Fairchild sends Mediterranean vegetables including broccoli and peppers,The Food Explorer Ch.9
1899,Italy - Padua,Sultanina seedless grapes,First shippment of sultana grapes,The Food Explorer Ch.9
1899,Egypt,Egyptian cotton (Jannovitch); Sesame; Garbanzo; Berseem,"Fairchild arrives in Egypt and sends cotton, sesame, garbanzo, and berseem for US testing",The Food Explorer Ch.9
1900,Indonesia,Pomelo,Collects pomelo from Ceram/Sekar during 40-day island cruise,The Food Explorer Ch.10
1900,Philippines,Carabao mango,Collects Carabao mango (later marketed as champagne mango),The Food Explorer Ch.10
1900,China - Canton,Rice; Water Chestnut; Guava,Collects rice and water chestnut and builds China crop contacts,The Food Explorer Ch.10
1900,Czech Republic - Bohemia,Saaz hops,Bohemian hops arrive in the US for brewing trials; these would set the foundation for the american beer industry.,The Food Explorer Ch.11
1904,China,Tung oil tree (Aleurites fordii),US program receives about 1000 tung seeds from Consul L. S. Wilcox and begins tung-oil culture trials that later become a southern industry,The world was my Garden
1901,Italy,Sultanina grapes (Vitis vitifera),"Fairchild ships seedless grapes of the Sultanina variety. While not the first introduction into the US, it was the most successful one for raisins and wine making. Other orchards were also shipped",The Food Explorer Ch.11
1901,Austria-Hungary,Kale,Fairchild introduces kale forms from Central Europe,The Food Explorer Ch.11
1901,Greece,Pistachio (budded trees); lentils,Collects and ships pistachio material (first budded pistachios to the US) plus lentils; investigates Poros seedless lemon claims,The Food Explorer Ch.11
1901-02,India - Bombay,Alphonso mango; ~80 mango varieties,Builds a major mango collection centered on Alphonso and related elite cultivars,The Food Explorer Ch.13
1901-02,Vietnam,Mangosteen; Saigon mango,Attempts mangosteen collection and secures Saigon mango seed,
1902,Iraq - Baghdad,Date palms; wheat; Barley; Chickpeas,Collects date palm offshoots and dryland staples from Mesopotamia,The Food Explorer Ch.12
1902,Pakistan - Quetta,Nectarines,Receives Quetta nectarine seeds/cuttings that later prove valuable in US breeding,The Food Explorer Ch.12
1902,Japan,Wasabi; Loquat; Zoysia grass; persimmon; Udo; Bamboo,Collects Japanese edible and landscape plants and builds cherry/bamboo acquisition network,
1905,China - Beijing,Grindstone persimmon,July 27: Meyer departs on first China expedition with persimmon target mission,The Food Explorer Ch.16
1905,China,Meyer lemon,Frank Meyer discovers and sends material for what would later be known as the Meyer lemon ,The Food Explorer Ch.16
1905-08,China; Manchuria; Korea; Siberia,Soybeans; asparagus; oats; millet; wild pears; persimmons; bamboo; apricots; ornamentals,Frank Meyer's first expedition ships ~20 tons of plant material; includes first formal soybean/asparagus entries through the program,The Food Explorer Ch.16
1909-10,Burma,Chaulmoogra trees (Hydnocarpus spp.),Joseph Rock collected chaulmoogra seed for cultivation to stabilize medicinal oil supply used in leprosy treatment programs,The world was my Garden
1911,Puerto Rico,Taro,Dasheen collection from Puerto Rico and Florida holdings was consolidated at Brooksville for hardiness and varietal testing,The world was my Garden
1913-15,China - Gansu Province; near Tibet,Walnuts; hazelnuts; chestnuts (blight-resistant); jujubes; pears; apples; peaches; haw,Frank Meyer ships chestnut material resistant to blight and other high-value temperate crops,
1916-18,Guatemala,Avocados (23 varieties),Wilson Popenoe collects and ships great Guatemalan avocado selections.,The Food Explorer Ch.19
1916-18,China,Ginkgo biloba; Ichang lemons,"During Frank Meyer's final expedition, he sends ginkgo and Ichang citrus material before his tragic death.",The Food Explorer Ch.19
1900,South Africa,Dwarf pineapple (Ananas sativus),Fairchild shpped a dwarf variery of pineapples sweeter and less fibrous. This varierty did not caught on with American farmers.,The Food Explorer Ch.13
1948,Venezuela,Arracacha,Fairchild ships back cultivars of Arracacha back to the US while on his last official plant exploring expedition.,"Korber et al., 2016"
1948,Colombia,Corozo,Fairchild ships back Corozo back to the US while on his last official plant exploring expedition.,"Korber et al., 2017"
